序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
49,61,农产品,深圳市农产品股份有限公司,深圳市,罗湖区,244628.14,1389.21,5036,1997-01-10,--,,专业市场,农产品批发市场经营、农产品加工生产、市场配套服务,农产品批发市场的开发、建设、经营和管理，大宗农产品电子交易和蔬菜种植等。
50,62,深圳华强,深圳华强实业股份有限公司,深圳市,福田区,829788.09,41226.95,1832,1997-01-30,--,,专业市场,电子元器件线下分销分部、电子元器件线上交易平台分部、电子元器件及终端产品线下交易平台分部、终端产品线上分销分部,面向电子信息产业链的现代高端服务业，为产业链上的各环节提供网上网下交易服务、产品服务和交易信息服务。
51,63,中兴通讯,中兴通讯股份有限公司,深圳市,南山区,10881527.3,456817.2,74773,1997-11-18,--,,通信传输设备,运营商网络、消费者业务、政企业务,设计、开发、生产、分销及安装各种先进的ICT领域系统、设备和终端
52,65,北方国际,北方国际合作股份有限公司,北京市,丰台区,973003.16,49925.34,2001,1998-06-05,--,,专业工程,国际工程承包、国内建筑工程、房地产销售、货物贸易、货运代理、金属包装容器,承包境外工程及境内国际招标工程、房地产开发业务。
53,66,中国长城,中国长城科技集团股份有限公司,深圳市,南山区,950683.88,58104.33,13829,1997-06-26,--,,PC、服务器及硬件,高新电子、信息安全整机及解决方案、电源产品、园区及物业服务,计算机及相关设备制造，高新电子业务，涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。
54,68,华控赛格,深圳华控赛格股份有限公司,深圳市,宝安区,41292.97,3260.33,555,1997-06-11,--,,环保材料,环保设备及材料、技术咨询规划服务、电子元器件、仓租服务业,节能环保和新材料
55,69,华侨城A,深圳华侨城股份有限公司,深圳市,南山区,4234122.47,864324.25,25130,1997-09-10,--,,景区,旅游综合业务、房地产、纸包装,主题公园、酒店服务、房地产开发、纸包装等
56,70,特发信息,深圳市特发信息股份有限公司,深圳市,南山区,547307.41,26562.32,4916,2000-05-11,--,,通信传输设备,通信及相关设备制造、物业租赁,光纤、光缆、通信设备的生产和销售
57,78,海王生物,深圳市海王生物工程股份有限公司,深圳市,南山区,2493963.77,63637.58,9262,1998-12-18,--,,医药商业,生物制药、医药、保健品、食品,生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售
58,88,盐田港,深圳市盐田港股份有限公司,深圳市,盐田区,34377.89,40435.52,714,1997-07-28,--,,港口,高速公路收费、港口货物装卸运输、仓储及其他服务,投资港口货物装卸与运输业务，码头建设工程管理，收费高速公路、桥梁运营，海关监管仓和其他港口配套仓储经营。
59,89,深圳机场,深圳市机场股份有限公司,深圳市,宝安区,332080.79,66136.17,5444,1998-04-20,--,,机场,航空主业、航空增值、航空物流、航空广告,航空客货运输地面服务、郊区公路客货运输、航空客货物流代理业务等劳务。
60,90,天健集团,深圳市天健(集团)股份有限公司,深圳市,福田区,674959.36,60162.12,5978,1999-07-21,--,,专业工程,建筑施工、房地产销售、物业租赁,提供商品住宅的开发及销售、工程施工劳务、物业租赁服务、物业管理服务、商业运营及服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
61,96,广聚能源,深圳市广聚能源股份有限公司,深圳市,南山区,124317.37,15019.4,398,2000-07-24,--,,石油天然气贸易,成品油、液体化工仓储、危化品贸易,从事油品、液化石油气销售、液体化工品仓储及电力投资
